title,author,categoryId,num_purchases,courseRating,quizRating,instructorRating,contentRating,satisfaction
Adaptive 24/7 hub,Mark Jenkins,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,,,,,
Adaptive 24/7 open system,Hayden Brown,916d0c63-7b5f-42da-8a0a-0dd2ae870662,1.0,,,,,
Adaptive 24hour migration,Daniel Hall,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,,1.5,3.0,3.5,2.0,3.0
Adaptive 24hour migration,Dawn Nelson,e67e65d7-0936-43d5-bb1b-721c832eac03,3.0,1.5,3.0,3.5,2.0,3.0
Adaptive 24hour open architecture,Juan Hall,2b41facd-f492-4805-b67a-58b607510045,1.0,,,,,
Adaptive 24hour open system,Robert Bean,2b41facd-f492-4805-b67a-58b607510045,,3.5,5.0,2.0,2.0,2.0
Adaptive 24hour task-force,Kelsey Taylor,e67e65d7-0936-43d5-bb1b-721c832eac03,3.0,3.0,1.5,2.5,2.0,2.5
Adaptive 3rdgeneration collaboration,Deborah Hendricks,2b41facd-f492-4805-b67a-58b607510045,2.0,2.5,3.5,1.5,2.5,3.0
Adaptive 3rdgeneration moratorium,Keith Perkins,2b41facd-f492-4805-b67a-58b607510045,,3.5,3.5,4.0,3.5,3.5
Adaptive 4thgeneration groupware,Scott Brown,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,2.0,4.0,2.0,3.0,3.0,4.333333333333333
Adaptive 4thgeneration infrastructure,John Farrell,2b41facd-f492-4805-b67a-58b607510045,2.0,1.0,4.0,5.0,2.0,5.0
Adaptive 4thgeneration pricing structure,Jessica Montgomery,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,,2.0,4.0,5.0,2.0,5.0
Adaptive 5thgeneration Graphical User Interface,Pamela Brooks,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,,3.5,4.0,3.25,3.75,3.5
Adaptive 5thgeneration matrix,Michele Ellis,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,4.0,2.0,4.0,3.0,3.0
Adaptive 5thgeneration service-desk,Jessica Wilcox,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,,,,,
Adaptive 5thgeneration software,Stephen Williams,916d0c63-7b5f-42da-8a0a-0dd2ae870662,2.0,2.5,4.0,3.5,4.0,3.0
Adaptive 5thgeneration strategy,Jonathan Weber,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,3.0,,,,,
Adaptive 6thgeneration array,Dana Osborne,916d0c63-7b5f-42da-8a0a-0dd2ae870662,1.0,,,,,
Adaptive actuating monitoring,Steven Jacobs,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,3.0,5.0,4.0,5.0,5.0
Adaptive actuating open architecture,Anthony Spears,2b41facd-f492-4805-b67a-58b607510045,,4.0,4.0,4.0,2.0,5.0
Adaptive actuating process improvement,Tony Miller,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,4.0,1.0,1.0,5.0,3.0
Adaptive analyzing approach,Daniel Smith,916d0c63-7b5f-42da-8a0a-0dd2ae870662,1.0,5.0,3.0,1.0,4.5,2.0
Adaptive analyzing benchmark,Brenda Houston,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,3.0,5.0,3.0,2.0,5.0
Adaptive analyzing capacity,Alexandra Garcia,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,2.0,3.3333333333333335,3.6666666666666665,3.3333333333333335,2.6666666666666665
Adaptive analyzing software,Amber Jennings,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,1.0,1.5,4.5,4.0,2.0
Adaptive asymmetric attitude,Chelsea Marshall,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,,,,,
Adaptive asymmetric help-desk,Vickie Zamora,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,3.0,1.0,5.0,5.0,4.0,2.0
Adaptive asynchronous application,Kevin Lamb,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,2.0,,,,,
Adaptive attitude-oriented methodology,Margaret Ray,916d0c63-7b5f-42da-8a0a-0dd2ae870662,1.0,3.0,3.5,2.75,2.75,2.75
Adaptive attitude-oriented methodology,Shannon Fleming,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,3.0,3.5,2.75,2.75,2.75
Adaptive attitude-oriented neural-net,Rachel Harrison,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,4.0,2.0,1.0,4.0,5.0
Adaptive attitude-oriented throughput,Matthew Ortiz,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,,2.0,1.0,5.0,4.0,2.0
Adaptive background benchmark,Shannon Glenn,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,2.0,2.0,1.0,3.0,4.0,4.0
Adaptive background emulation,Marc Jones,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,5.0,2.0,3.0,4.0,3.0
Adaptive background moderator,Brittany Jenkins,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,,,,,
Adaptive background task-force,Kimberly Moore,2b41facd-f492-4805-b67a-58b607510045,1.0,,,,,
Adaptive bandwidth-monitored Graphical User Interface,Robert Spencer,916d0c63-7b5f-42da-8a0a-0dd2ae870662,3.0,,,,,
Adaptive bandwidth-monitored capability,Erin Hatfield MD,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,1.0,5.0,3.0,5.0,4.0
Adaptive bandwidth-monitored functionalities,Erika Randolph,2b41facd-f492-4805-b67a-58b607510045,,2.0,4.0,4.0,4.0,1.0
Adaptive bandwidth-monitored hierarchy,Travis Reynolds,916d0c63-7b5f-42da-8a0a-0dd2ae870662,1.0,2.0,3.5,2.5,1.5,1.5
Adaptive bandwidth-monitored monitoring,Monica Christensen,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,1.0,4.0,2.0,2.0,3.0
Adaptive bandwidth-monitored solution,Lauren Williams,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,2.0,3.0,4.0,4.0,5.0,5.0
Adaptive bandwidth-monitored standardization,Ronald Williamson,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,3.0,1.0,3.0,3.0,5.0
Adaptive bandwidth-monitored synergy,Cynthia Hendricks,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,1.0,4.0,3.5,2.0,3.0
Adaptive bi-directional interface,Megan Kirk,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,3.0,1.0,2.0,2.0,2.0,3.0
Adaptive bi-directional moderator,Jaclyn Graham,e67e65d7-0936-43d5-bb1b-721c832eac03,,4.0,4.0,5.0,5.0,1.0
Adaptive bifurcated circuit,Ruth Solis,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,4.0,2.0,1.0,5.0,3.0
Adaptive bifurcated function,Wendy Boyd,2b41facd-f492-4805-b67a-58b607510045,,1.5,3.5,4.5,3.5,5.0
Adaptive bifurcated service-desk,Bryan Brown,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,1.5,2.5,4.0,4.0,2.5
Adaptive bifurcated service-desk,Dennis Blake,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,,1.5,2.5,4.0,4.0,2.5
Adaptive bifurcated toolset,Justin Griffin,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,2.6666666666666665,2.3333333333333335,3.0,3.6666666666666665,2.0
Adaptive bottom-line function,Paula Yoder,916d0c63-7b5f-42da-8a0a-0dd2ae870662,2.0,,,,,
Adaptive clear-thinking Local Area Network,Jordan Ross,e67e65d7-0936-43d5-bb1b-721c832eac03,,4.0,2.5,2.0,2.5,4.5
Adaptive clear-thinking open system,Hailey Wilson,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,3.0,3.0,1.0,5.0,3.0
Adaptive clear-thinking portal,Janet Hawkins,e67e65d7-0936-43d5-bb1b-721c832eac03,5.0,3.3333333333333335,3.6666666666666665,2.3333333333333335,2.0,4.333333333333333
Adaptive clear-thinking strategy,Shannon Smith,916d0c63-7b5f-42da-8a0a-0dd2ae870662,3.0,3.0,3.5,2.5,4.0,3.0
Adaptive client-driven paradigm,Michael Bender,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,2.5,3.5,2.0,1.5,1.5
Adaptive coherent Internet solution,Ashley Welch,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,,,,,
Adaptive coherent core,Amanda Smith,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,1.0,2.0,2.0,5.0,5.0
Adaptive coherent extranet,Cheryl Morris,e67e65d7-0936-43d5-bb1b-721c832eac03,2.0,3.6666666666666665,2.3333333333333335,1.0,3.3333333333333335,2.3333333333333335
Adaptive coherent project,Stacey Johnson,e67e65d7-0936-43d5-bb1b-721c832eac03,1.0,,,,,
Adaptive coherent protocol,Amy Hill,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,1.0,3.0,3.0,5.0,3.5,3.0
Adaptive coherent system engine,Ashley Bowman,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,2.0,3.0,2.0,5.0,4.0
Adaptive coherent system engine,Shelby Gutierrez,e67e65d7-0936-43d5-bb1b-721c832eac03,,2.0,3.0,2.0,5.0,4.0
Adaptive coherent website,Amanda Castro,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,3.0,,,,,
Adaptive cohesive middleware,Christopher Osborne,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,2.6666666666666665,3.0,3.6666666666666665,3.3333333333333335,2.3333333333333335
Adaptive cohesive monitoring,Alexander Hall,2b41facd-f492-4805-b67a-58b607510045,1.0,,,,,
Adaptive composite groupware,Riley Weaver,2b41facd-f492-4805-b67a-58b607510045,1.0,2.5,4.0,3.0,2.5,4.0
Adaptive content-based extranet,Stephanie Fitzpatrick,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,,5.0,1.0,2.0,4.0,4.0
Adaptive content-based model,Barbara Horn,916d0c63-7b5f-42da-8a0a-0dd2ae870662,3.0,4.0,2.0,5.0,5.0,3.0
Adaptive contextually-based groupware,Jeanette Kaiser,916d0c63-7b5f-42da-8a0a-0dd2ae870662,,3.0,3.0,2.5,3.5,2.5
Adaptive contextually-based parallelism,Amy Flores,916d0c63-7b5f-42da-8a0a-0dd2ae870662,1.0,4.5,2.0,4.0,2.5,4.5
Adaptive contextually-based process improvement,Mrs. Michelle Orozco,916d0c63-7b5f-42da-8a0a-0dd2ae870662,2.0,1.5,4.5,3.5,4.5,2.5
Adaptive contextually-based process improvement,Sandra Combs,2b41facd-f492-4805-b67a-58b607510045,,1.5,4.5,3.5,4.5,2.5
Adaptive contextually-based service-desk,John Vincent,49fd9f6e-c588-4256-8421-5ce5bdcd19ef,1.0,2.0,1.0,1.0,4.0,3.0
Adaptive contextually-based toolset,David Anderson,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,2.0,2.0,5.0,3.0,1.0,4.0
Adaptive dedicated Internet solution,Jennifer Sparks,152eb39b-953b-49a2-9216-5c3cfd9d6e8d,3.0,5.0,1.0,4.0,3.0,3.0
Adaptive dedicated strategy,Stephanie Bailey,e67e65d7-0936-43d5-bb1b-721c832eac03,,3.5,1.0,1.0,2.0,4.5
